President,type,score,party,,,,,,
Abraham Lincoln,anger            ,0.0221461,Repubilican,,,,,,
Abraham Lincoln,anticipation     ,0.02538016,Repubilican,,,,,,
Abraham Lincoln,disgust           ,0.01071335,Repubilican,,,,,,
Abraham Lincoln,fear            ,0.03262857,Repubilican,,,,,,
Abraham Lincoln,joy          ,0.02011536,Repubilican,,,,,,
Abraham Lincoln,sadness          ,0.02021784,Repubilican,,,,,,
Abraham Lincoln,surprise      ,0.01024037,Repubilican,,,,,,
Abraham Lincoln,trust           ,0.04327443,Repubilican,,,,,,
Abraham Lincoln,negative       ,0.04717292,Repubilican,,,,,,
Abraham Lincoln,positive         ,0.0622892,Repubilican,,,,,,
Ulysses S. Grant,anger            ,0.011370641,Repubilican,,,,,,
Ulysses S. Grant,anticipation     ,0.028976854,Repubilican,,,,,,
Ulysses S. Grant,disgust           ,0.005195126,Repubilican,,,,,,
Ulysses S. Grant,fear            ,0.020290356,Repubilican,,,,,,
Ulysses S. Grant,joy          ,0.024678824,Repubilican,,,,,,
Ulysses S. Grant,sadness          ,0.012462931,Repubilican,,,,,,
Ulysses S. Grant,surprise      ,"
0.010862250",Repubilican,,,,,,
Ulysses S. Grant,trust           ,0.055872833,Repubilican,,,,,,
Ulysses S. Grant,negative       ,0.035040637,Repubilican,,,,,,
Ulysses S. Grant,positive         ,0.084896876,Repubilican,,,,,,
Theodore Roosevelt,anger            ,0.009994432,Repubilican,,,,,,
Theodore Roosevelt,anticipation     ,0.017709528,Repubilican,,,,,,
Theodore Roosevelt,disgust           ,0.004991728,Repubilican,,,,,,
Theodore Roosevelt,fear            ,0.029895242,Repubilican,,,,,,
Theodore Roosevelt,joy          ,0.029114143,Repubilican,,,,,,
Theodore Roosevelt,sadness          ,0.012047891,Repubilican,,,,,,
Theodore Roosevelt,surprise      ,0.012061157,Repubilican,,,,,,
Theodore Roosevelt,trust           ,0.050685161,Repubilican,,,,,,
Theodore Roosevelt,negative       ,0.035261363,Repubilican,,,,,,
Theodore Roosevelt,positive         ,0.073295468,Repubilican,,,,,,
Dwight D. Eisenhower,anger            ,0.017754288,Repubilican,,,,,,
Dwight D. Eisenhower,anticipation     ,0.038262366,Repubilican,,,,,,
Dwight D. Eisenhower,disgust           ,0.007085148,Repubilican,,,,,,
Dwight D. Eisenhower,fear            ,0.02800416,Repubilican,,,,,, 
Dwight D. Eisenhower,joy          ,0.03568016,Repubilican,,,,,,
Dwight D. Eisenhower,sadness          ,0.013302523,Repubilican,,,,,,
Dwight D. Eisenhower,surprise      ,0.012677093,Repubilican,,,,,,
Dwight D. Eisenhower,trust           ,0.058839462,Repubilican,,,,,,
Dwight D. Eisenhower,negative       ,0.034272884,Repubilican,,,,,,
Dwight D. Eisenhower,positive         ,0.088501797,Repubilican,,,,,,
Ronald Reagan,anger            ,0.01068272,Repubilican,,,,,,
Ronald Reagan,anticipation     ,0.049360987,Repubilican,,,,,,
Ronald Reagan,disgust           ,0.00524858,Repubilican,,,,,,
Ronald Reagan,fear            ,0.021577339,Repubilican,,,,,,
Ronald Reagan,joy          ,0.023253298,Repubilican,,,,,,
Ronald Reagan,sadness          ,0.012793524,Repubilican,,,,,,
Ronald Reagan,surprise      ,0.008542639,Repubilican,,,,,,
Ronald Reagan,trust           ,0.053922184,Repubilican,,,,,,
Ronald Reagan,negative       ,0.038875585,Repubilican,,,,,,
Ronald Reagan,positive         ,0.071648776,Repubilican,,,,,,
Franklin D. Roosevelt,anger            ,0.016525043,Democratic,,,,,,
Franklin D. Roosevelt,anticipation     ,0.030037163,Democratic,,,,,,
Franklin D. Roosevelt,disgust           ,0.009027035,Democratic,,,,,,
Franklin D. Roosevelt,fear            ,0.026919637,Democratic,,,,,,
Franklin D. Roosevelt,joy          ,0.026348151,Democratic,,,,,,
Franklin D. Roosevelt,sadness          ,0.015955081,Democratic,,,,,,
Franklin D. Roosevelt,surprise      ,0.011242433,Democratic,,,,,,
Franklin D. Roosevelt,trust           ,0.049688818,Democratic,,,,,,
Franklin D. Roosevelt,negative       ,0.041165866,Democratic,,,,,,
Franklin D. Roosevelt,positive         ,0.078112549,Democratic,,,,,,
Woodrow Wilson,anger            ,0.015102599,Democratic,,,,,,
Woodrow Wilson,anticipation     ,0.024251301,Democratic,,,,,,
Woodrow Wilson,disgust           ,0.00850332,Democratic,,,,,,
Woodrow Wilson,fear            ,0.019684739,Democratic,,,,,,
Woodrow Wilson,joy          ,0.018476847,Democratic,,,,,,
Woodrow Wilson,sadness          ,0.013131214,Democratic,,,,,,
Woodrow Wilson,surprise      ,0.007444407,Democratic,,,,,,
Woodrow Wilson,trust           ,0.043984626,Democratic,,,,,,
